feature_ID	dataset	name_in_figures	lipid_class	chain_length	double_bond	sn_position	refmet_super_class	refmet_main_class	refmet_sub_class
PC(O-38:5)_feature1	metab-u-lrppos	PC P-38:4 or PC O-38:5	O-PC	38	5	NA	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-38:5)_feature3	metab-u-lrppos	PC P-38:4 or PC O-38:5	O-PC	38	5	NA	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-38:6)_feature1	metab-u-lrppos	PC P-38:5 or PC O-38:6	O-PC	38	6	NA	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-38:6)_feature2	metab-u-lrppos	PC P-38:5 or PC O-38:6	O-PC	38	6	NA	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-38:7)_feature1	metab-u-lrppos	PC P-38:6 or PC O-38:7	O-PC	38	7	NA	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-38:7)_feature2	metab-u-lrppos	PC P-38:6 or PC O-38:7	O-PC	38	7	NA	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-40:6)_feature1	metab-u-lrppos	PC P-40:5 or PC O-40:6	O-PC	40	6	NA	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-40:7)_feature3	metab-u-lrppos	PC P-40:6 or PC O-40:7	O-PC	40	7	NA	Glycerophospholipids	Glycerophosphocholines	O-PC
PE(34:1)_feature1	metab-u-lrppos	PE 34:1	PE	34	1	NA	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(34:2)_feature2	metab-u-lrppos	PE 34:2	PE	34	2	NA	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(36:1)_feature3	metab-u-lrppos	PE 36:1	PE	36	1	NA	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(36:2)>PE(18:2_18:0)_feature2	metab-u-lrppos	PE 36:2	PE	36	2	PE 18:2_18:0	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(36:2)>PE(18:2_18:0)_feature3	metab-u-lrppos	PE 36:2	PE	36	2	PE 18:2_18:0	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(36:3)_feature1	metab-u-lrppos	PE 36:3	PE	36	3	NA	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(36:4)_feature1	metab-u-lrppos	PE 36:4	PE	36	4	NA	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(36:4)_feature3	metab-u-lrppos	PE 36:4	PE	36	4	NA	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(36:5)_feature2	metab-u-lrppos	PE 36:5	PE	36	5	NA	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(36:5)_feature5	metab-u-lrppos	PE 36:5	PE	36	5	NA	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(38:3)>PE(18:0_20:3)_feature2	metab-u-lrppos	PE 18:0_20:3	PE	38	3	PE 18:0_20:3	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(38:3)>PE(18:0_20:3)_feature3	metab-u-lrppos	PE 18:0_20:3	PE	38	3	PE 18:0_20:3	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(38:4)>PE(18:0_20:4)_feature8	metab-u-lrppos	PE 18:0_20:4	PE	38	4	PE 18:0_20:4	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(38:5)>PE(18:1_20:4)_feature3	metab-u-lrppos	PE 18:1_20:4	PE	38	5	PE 18:1_20:4	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(38:5)>PE(18:1_20:4)_feature7	metab-u-lrppos	PE 18:1_20:4	PE	38	5	PE 18:1_20:4	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(38:5)>PE(18:1_20:4)_feature8	metab-u-lrppos	PE 18:1_20:4	PE	38	5	PE 18:1_20:4	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(38:6)_feature2	metab-u-lrppos	PE 38:6	PE	38	6	NA	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(38:6)_feature3	metab-u-lrppos	PE 38:6	PE	38	6	NA	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(40:5)_feature1	metab-u-lrppos	PE 40:5	PE	40	5	NA	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(40:5)_feature3	metab-u-lrppos	PE 40:5	PE	40	5	NA	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(40:5)_feature4	metab-u-lrppos	PE 40:5	PE	40	5	NA	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(40:6)_feature2	metab-u-lrppos	PE 40:6	PE	40	6	NA	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(40:8)_feature1	metab-u-lrppos	PE 40:8	PE	40	8	NA	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(O-34:1)_feature1	metab-u-lrppos	PE P-34:0 or PE O-34:1	O-PE	34	1	NA	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-34:2)>PE(O-16:1/18:1)_and_PE(O-18:2/16:0)_feature1	metab-u-lrppos	PE P-34:1 or PE O-34:2	O-PE	34	2	NA	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-36:2)>PE(O-18:1/18:1)_feature2	metab-u-lrppos	PE P-18:0/18:1 or PE O-18:1/18:1	O-PE	36	2	PE P-18:0/18:1 or PE O-18:1/18:1	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-36:3)>PE(O-18:2/18:1)_feature4	metab-u-lrppos	PE P-18:1/18:1 or PE O-18:2/18:1	O-PE	36	3	PE P-18:1/18:1 or PE O-18:2/18:1	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-36:3)_feature2	metab-u-lrppos	PE P-36:2 or PE O-36:3	O-PE	36	3	NA	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-36:5)>PE(O-16:1/20:4)_feature2	metab-u-lrppos	PE P-16:0/20:4 or PE O-16:1/20:4	O-PE	36	5	PE P-16:0/20:4 or PE O-16:1/20:4	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-37:5)>PE(O-17:1/20:4)_feature1	metab-u-lrppos	PE P-17:0/20:4 or PE O-17:1/20:4	O-PE	37	5	PE P-17:0/20:4 or PE O-17:1/20:4	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-37:5)>PE(O-17:1/20:4)_feature2	metab-u-lrppos	PE P-17:0/20:4 or PE O-17:1/20:4	O-PE	37	5	PE P-17:0/20:4 or PE O-17:1/20:4	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-38:4)_feature4	metab-u-lrppos	PE P-38:3 or PE O-38:4	O-PE	38	4	NA	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-38:5)_feature3	metab-u-lrppos	PE P-38:4 or PE O-38:5	O-PE	38	5	NA	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-38:6)>PE(O-18:2/20:4)_and_PE(O-16:1/22:5)_feature4	metab-u-lrppos	PE P-38:5 or PE O-38:6	O-PE	38	6	NA	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-38:7)>PE(O-16:1/22:6)_feature2	metab-u-lrppos	PE P-16:0/22:6 or PE O-16:1/22:6	O-PE	38	7	PE P-16:0/22:6 or PE O-16:1/22:6	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-40:5)>PE(O-18:1/22:4)_feature4	metab-u-lrppos	PE P-18:0/22:4 or PE O-18:1/22:4	O-PE	40	5	PE P-18:0/22:4 or PE O-18:1/22:4	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-40:5)>PE(O-18:1/22:4)_feature5	metab-u-lrppos	PE P-18:0/22:4 or PE O-18:1/22:4	O-PE	40	5	PE P-18:0/22:4 or PE O-18:1/22:4	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-40:6)>PE(O-18:1/22:5)_feature4	metab-u-lrppos	PE P-18:0/22:5 or PE O-18:1/22:5	O-PE	40	6	PE P-18:0/22:5 or PE O-18:1/22:5	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-40:6)>PE(O-18:1/22:5)_feature5	metab-u-lrppos	PE P-18:0/22:5 or PE O-18:1/22:5	O-PE	40	6	PE P-18:0/22:5 or PE O-18:1/22:5	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-40:7)>PE(O-18:1/22:6)_feature7	metab-u-lrppos	PE P-18:0/22:6 or PE O-18:1/22:6	O-PE	40	7	PE P-18:0/22:6 or PE O-18:1/22:6	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-40:7)>PE(O-18:2/22:5)_feature4	metab-u-lrppos	PE P-40:6 or PE O-40:7	O-PE	40	7	PE O-18:2/22:5	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-40:8)>PE(O-18:2/22:6)_feature2	metab-u-lrppos	PE P-40:7 or PE O-40:8	O-PE	40	8	PE O-18:2/22:6	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PS(36:1)_feature1	metab-u-lrppos	PS 18:0_18:1	PS	36	1	NA	Glycerophospholipids	Glycerophosphoserines	PS
PS(36:2)_feature2	metab-u-lrppos	PS 36:2	PS	36	2	NA	Glycerophospholipids	Glycerophosphoserines	PS
PS(36:2)_feature3	metab-u-lrppos	PS 36:2	PS	36	2	NA	Glycerophospholipids	Glycerophosphoserines	PS
PS(38:3)_feature2	metab-u-lrppos	PS 38:3	PS	38	3	NA	Glycerophospholipids	Glycerophosphoserines	PS
PS(40:4)_feature1	metab-u-lrppos	PS 40:4	PS	40	4	NA	Glycerophospholipids	Glycerophosphoserines	PS
PS(40:5)_feature2	metab-u-lrppos	PS 40:5	PS	40	5	NA	Glycerophospholipids	Glycerophosphoserines	PS
PS(40:6)_feature2	metab-u-lrppos	PS 40:6	PS	40	6	NA	Glycerophospholipids	Glycerophosphoserines	PS
SM(d33:1)_feature1	metab-u-lrppos	SM 33:1;O2	SM	33	1	NA	Sphingolipids	Sphingomyelins	SM
SM(d34:1-OH)_feature1	metab-u-lrppos	SM 34:1;O2;O	SM	34	1	NA	Sphingolipids	Sphingomyelins	SM
SM(d36:0)_feature1	metab-u-lrppos	SM 36:0;O2	SM	36	0	NA	Sphingolipids	Sphingomyelins	SM
SM(d37:1)_feature1	metab-u-lrppos	SM 37:1;O2	SM	37	1	NA	Sphingolipids	Sphingomyelins	SM
SM(d38:0)_feature 2	metab-u-lrppos	SM 38:0;O2	SM	38	0	NA	Sphingolipids	Sphingomyelins	SM
SM(d38:1)_feature2	metab-u-lrppos	SM 38:1;O2	SM	38	1	NA	Sphingolipids	Sphingomyelins	SM
SM(d38:2)_feature2	metab-u-lrppos	SM 38:2;O2	SM	38	2	NA	Sphingolipids	Sphingomyelins	SM
SM(d39:1)_feature2	metab-u-lrppos	SM 39:1;O2	SM	39	1	NA	Sphingolipids	Sphingomyelins	SM
SM(d40:0)_feature1	metab-u-lrppos	SM 40:0;O2	SM	40	0	NA	Sphingolipids	Sphingomyelins	SM
SM(d40:1)_feature2	metab-u-lrppos	SM 40:1;O2	SM	40	1	NA	Sphingolipids	Sphingomyelins	SM
SM(d40:2)_feature1	metab-u-lrppos	SM 40:2;O2	SM	40	2	NA	Sphingolipids	Sphingomyelins	SM
SM(d40:2)_feature2	metab-u-lrppos	SM 40:2;O2	SM	40	2	NA	Sphingolipids	Sphingomyelins	SM
SM(d41:0)_feature1	metab-u-lrppos	SM 41:0;O2	SM	41	0	NA	Sphingolipids	Sphingomyelins	SM
SM(d41:1)_feature1	metab-u-lrppos	SM 41:1;O2	SM	41	1	NA	Sphingolipids	Sphingomyelins	SM
SM(d41:2)_feature1	metab-u-lrppos	SM 41:2;O2	SM	41	2	NA	Sphingolipids	Sphingomyelins	SM
SM(d41:2)_feature2	metab-u-lrppos	SM 41:2;O2	SM	41	2	NA	Sphingolipids	Sphingomyelins	SM
SM(d41:2)_feature3	metab-u-lrppos	SM 41:2;O2	SM	41	2	NA	Sphingolipids	Sphingomyelins	SM
SM(d42:1)_feature1	metab-u-lrppos	SM 42:1;O2	SM	42	1	NA	Sphingolipids	Sphingomyelins	SM
SM(d42:1)_feature2	metab-u-lrppos	SM 42:1;O2	SM	42	1	NA	Sphingolipids	Sphingomyelins	SM
SM(d42:2)_feature2	metab-u-lrppos	SM 42:2;O2	SM	42	2	NA	Sphingolipids	Sphingomyelins	SM
SM(d42:3)_feature1	metab-u-lrppos	SM 42:3;O2	SM	42	3	NA	Sphingolipids	Sphingomyelins	SM
SM(d43:1)_feature2	metab-u-lrppos	SM 43:1;O2	SM	43	1	NA	Sphingolipids	Sphingomyelins	SM
SM(d44:1)_feature1	metab-u-lrppos	SM 44:1;O2	SM	44	1	NA	Sphingolipids	Sphingomyelins	SM
SM(d44:2)_feature1	metab-u-lrppos	SM 44:2;O2	SM	44	2	NA	Sphingolipids	Sphingomyelins	SM
SM(d44:3)_feature1	metab-u-lrppos	SM 44:3;O2	SM	44	3	NA	Sphingolipids	Sphingomyelins	SM
TG(30:0)>TG(10:0/10:0/10:0)_and_TG(8:0_10:0_12:0)_M+NH3_feature1	metab-u-lrppos	TG 30:0	TG	30	0	NA	Glycerolipids	Triradylglycerols	TAG
TG(32:0)>TG(10:0_10:0_12:0)_M+NH3_feature1	metab-u-lrppos	TG 10:0_10:0_12:0	TG	32	0	TG 10:0_10:0_12:0	Glycerolipids	Triradylglycerols	TAG
TG(34:0)>TG(10:0_10:0_14:0)_and_TG(10:0_12:0_12:0)_M+NH3_feature1	metab-u-lrppos	TG 34:0	TG	34	0	NA	Glycerolipids	Triradylglycerols	TAG
TG(34:0)>TG(4:0_14:0_16:0)_M+NH3_feature3	metab-u-lrppos	TG 4:0_14:0_16:0	TG	34	0	TG 4:0_14:0_16:0	Glycerolipids	Triradylglycerols	TAG
TG(36:0)>TG(10:0_10:0_16:0)_M+NH3_feature2	metab-u-lrppos	TG 10:0_10:0_16:0	TG	36	0	TG 10:0_10:0_16:0	Glycerolipids	Triradylglycerols	TAG
TG(36:0)>TG(4:0_16:0_16:0)_M+NH3_feature4	metab-u-lrppos	TG 4:0_16:0_16:0	TG	36	0	TG 4:0_16:0_16:0	Glycerolipids	Triradylglycerols	TAG
TG(36:1)>TG(4:0_16:0_16:1)_and_TG(2:0_16:0_18:1)_M+NH3_feature1	metab-u-lrppos	TG 36:1	TG	36	1	NA	Glycerolipids	Triradylglycerols	TAG
TG(36:1)>TG(8:0_10:0_18:1)_and_TG(10:0_10:0_16:1)_feature3	metab-u-lrppos	TG 36:1	TG	36	1	NA	Glycerolipids	Triradylglycerols	TAG
TG(36:2)>TG(2:0_16:0_18:2)_feature4	metab-u-lrppos	TG 2:0_16:0_18:2	TG	36	2	TG 2:0_16:0_18:2	Glycerolipids	Triradylglycerols	TAG
TG(36:2)>TG(8:0_10:0_18:2)_M+NH3_feature1	metab-u-lrppos	TG 8:0_10:0_18:2	TG	36	2	TG 8:0_10:0_18:2	Glycerolipids	Triradylglycerols	TAG
TG(36:2)_M+NH3_feature2	metab-u-lrppos	TG 36:2	TG	36	2	NA	Glycerolipids	Triradylglycerols	TAG
TG(36:3)>TG(2:0_16:1_18:2)_M+NH3_feature1	metab-u-lrppos	TG 2:0_16:1_18:2	TG	36	3	TG 2:0_16:1_18:2	Glycerolipids	Triradylglycerols	TAG
TG(38:0)>TG(10:0_12:0_16:0)_and_TG(10:0_10:0_18:0)_and_TG(8:0_12:0_18:0)_M+NH3_feature1	metab-u-lrppos	TG 38:0	TG	38	0	NA	Glycerolipids	Triradylglycerols	TAG
TG(38:0)>TG(10:0_12:0_16:0)_and_TG(10:0_10:0_18:0)_and_TG(8:0_12:0_18:0)_M+NH3_feature2	metab-u-lrppos	TG 38:0	TG	38	0	NA	Glycerolipids	Triradylglycerols	TAG
TG(38:0)>TG(10:0_12:0_16:0)_and_TG(10:0_10:0_18:0)_and_TG(8:0_12:0_18:0)_M+NH3_feature3	metab-u-lrppos	TG 38:0	TG	38	0	NA	Glycerolipids	Triradylglycerols	TAG
TG(38:1)>TG(10:0_10:0_18:1)_and_TG(10:0_12:0_16:1)_and_TG(8:0_12:0_18:1)_M+NH3_feature1	metab-u-lrppos	TG 38:1	TG	38	1	NA	Glycerolipids	Triradylglycerols	TAG
TG(38:1)>TG(10:0_10:0_18:1)_and_TG(10:0_12:0_16:1)_and_TG(8:0_12:0_18:1)_feature2	metab-u-lrppos	TG 38:1	TG	38	1	NA	Glycerolipids	Triradylglycerols	TAG
TG(38:1)>TG(4:0_16:0_18:1)_feature3	metab-u-lrppos	TG 38:1	TG	38	1	TG 4:0_16:0_18:1	Glycerolipids	Triradylglycerols	TAG
TG(38:2)>TG(10:0_10:0_18:2)_and_TG(8:0_12:0_18:2)_feature2	metab-u-lrppos	TG 38:2	TG	38	2	NA	Glycerolipids	Triradylglycerols	TAG
TG(38:2)>TG(4:0_16:1_18:1)_and_TG(4:0_16:0_18:2)_M+NH3_feature1	metab-u-lrppos	TG 38:2	TG	38	2	NA	Glycerolipids	Triradylglycerols	TAG
TG(38:2)>TG(4:0_16:1_18:1)_and_TG(4:0_16:0_18:2)_feature3	metab-u-lrppos	TG 38:2	TG	38	2	NA	Glycerolipids	Triradylglycerols	TAG
TG(38:3)>TG(4:0_16:1_18:2)_M+NH3_feature1	metab-u-lrppos	TG 4:0_16:1_18:2	TG	38	3	TG 4:0_16:1_18:2	Glycerolipids	Triradylglycerols	TAG
TG(38:4)>TG(2:0_18:2_18:2)_feature1	metab-u-lrppos	TG 2:0_18:2_18:2	TG	38	4	TG 2:0_18:2_18:2	Glycerolipids	Triradylglycerols	TAG
TG(39:1)_M+NH3_feature1	metab-u-lrppos	TG 39:1	TG	39	1	NA	Glycerolipids	Triradylglycerols	TAG
TG(39:2)_M+NH3_feature1	metab-u-lrppos	TG 39:2	TG	39	2	NA	Glycerolipids	Triradylglycerols	TAG
TG(40:0)_M+NH3_feature1	metab-u-lrppos	TG 40:0	TG	40	0	NA	Glycerolipids	Triradylglycerols	TAG
TG(40:0)_M+NH3_feature2	metab-u-lrppos	TG 40:0	TG	40	0	NA	Glycerolipids	Triradylglycerols	TAG
TG(40:1)_M+NH3_feature1	metab-u-lrppos	TG 40:1	TG	40	1	NA	Glycerolipids	Triradylglycerols	TAG
TG(40:1)_feature2	metab-u-lrppos	TG 40:1	TG	40	1	NA	Glycerolipids	Triradylglycerols	TAG
TG(40:1)_feature3	metab-u-lrppos	TG 40:1	TG	40	1	NA	Glycerolipids	Triradylglycerols	TAG
TG(40:2)>TG(10:0_12:0_18:2)_M+NH3_feature1	metab-u-lrppos	TG 10:0_12:0_18:2	TG	40	2	TG 10:0_12:0_18:2	Glycerolipids	Triradylglycerols	TAG
TG(40:2)>TG(4:0_18:1_18:1)_feature2	metab-u-lrppos	TG 4:0_18:1_18:1	TG	40	2	TG 4:0_18:1_18:1	Glycerolipids	Triradylglycerols	TAG
TG(40:3)>TG(4:0_18:1_18:2)_M+NH3_feature1	metab-u-lrppos	TG 4:0_18:1_18:2	TG	40	3	TG 4:0_18:1_18:2	Glycerolipids	Triradylglycerols	TAG
TG(40:3)>TG(4:0_18:1_18:2)_feature2	metab-u-lrppos	TG 4:0_18:1_18:2	TG	40	3	TG 4:0_18:1_18:2	Glycerolipids	Triradylglycerols	TAG
TG(40:4)>TG(4:0_18:2_18:2)_M+NH3_feature1	metab-u-lrppos	TG 4:0_18:2_18:2	TG	40	4	TG 4:0_18:2_18:2	Glycerolipids	Triradylglycerols	TAG
TG(40:5)>TG(4:0_18:2_18:3)_M+NH3_feature1	metab-u-lrppos	TG 4:0_18:2_18:3	TG	40	5	TG 4:0_18:2_18:3	Glycerolipids	Triradylglycerols	TAG
TG(41:2)_M+NH3_feature1	metab-u-lrppos	TG 41:2	TG	41	2	NA	Glycerolipids	Triradylglycerols	TAG
TG(41:3)>TG(5:0_18:1_18:2)_M+NH3_feature1	metab-u-lrppos	TG 5:0_18:1_18:2	TG	41	3	TG 5:0_18:1_18:2	Glycerolipids	Triradylglycerols	TAG
TG(42:0)>TG(10:0_16:0_16:0)_and_TG(12:0_14:0_16:0)_M+NH3_feature1	metab-u-lrppos	TG 42:0	TG	42	0	NA	Glycerolipids	Triradylglycerols	TAG
TG(42:1)_feature1	metab-u-lrppos	TG 42:1	TG	42	1	NA	Glycerolipids	Triradylglycerols	TAG
TG(42:2)_M+NH3_feature2	metab-u-lrppos	TG 42:2	TG	42	2	NA	Glycerolipids	Triradylglycerols	TAG
TG(42:3)>TG(6:0_18:1_18:2)_feature2	metab-u-lrppos	TG 6:0_18:1_18:2	TG	42	3	TG 6:0_18:1_18:2	Glycerolipids	Triradylglycerols	TAG
TG(42:3)_M+NH3_feature1	metab-u-lrppos	TG 42:3	TG	42	3	NA	Glycerolipids	Triradylglycerols	TAG
TG(42:4)>TG(6:0_18:2_18:2)_feature1	metab-u-lrppos	TG 6:0_18:2_18:2*	TG	42	4	TG 6:0_18:2_18:2*	Glycerolipids	Triradylglycerols	TAG
TG(42:4)_feature2	metab-u-lrppos	TG 42:4	TG	42	4	NA	Glycerolipids	Triradylglycerols	TAG
TG(42:5)_M+NH3_feature1	metab-u-lrppos	TG 42:5	TG	42	5	NA	Glycerolipids	Triradylglycerols	TAG
TG(42:5)_M+NH3_feature2	metab-u-lrppos	TG 42:5	TG	42	5	NA	Glycerolipids	Triradylglycerols	TAG
TG(42:6)>TG(4:0_16:0_22:6)_M+NH3_feature1	metab-u-lrppos	TG 4:0_16:0_22:6	TG	42	6	TG 4:0_16:0_22:6	Glycerolipids	Triradylglycerols	TAG
TG(43:2)>TG(10:0_15:0_18:2)_M+NH3_feature1	metab-u-lrppos	TG 10:0_15:0_18:2	TG	43	2	TG 10:0_15:0_18:2	Glycerolipids	Triradylglycerols	TAG
TG(44:1)>TG(10:0_16:0_18:1)_M+NH3_feature1	metab-u-lrppos	TG 10:0_16:0_18:1	TG	44	1	TG 10:0_16:0_18:1	Glycerolipids	Triradylglycerols	TAG
TG(44:1)>TG(10:0_16:0_18:1)_feature3	metab-u-lrppos	TG 10:0_16:0_18:1	TG	44	1	TG 10:0_16:0_18:1	Glycerolipids	Triradylglycerols	TAG
TG(44:2)>TG(10:0_16:1_18:1)_M+NH3_feature1	metab-u-lrppos	TG 10:0_16:1_18:1	TG	44	2	TG 10:0_16:1_18:1	Glycerolipids	Triradylglycerols	TAG
TG(44:2)>TG(10:0_16:1_18:1)_feature2	metab-u-lrppos	TG 10:0_16:1_18:1	TG	44	2	TG 10:0_16:1_18:1	Glycerolipids	Triradylglycerols	TAG
TG(44:3)>TG(8:0_18:1_18:2)_and_TG(10:0_16:1_18:2)_feature1	metab-u-lrppos	TG 44:3	TG	44	3	NA	Glycerolipids	Triradylglycerols	TAG
TG(44:4)>TG(8:0_18:2_18:2)_feature1	metab-u-lrppos	TG 8:0_18:2_18:2	TG	44	4	TG 8:0_18:2_18:2	Glycerolipids	Triradylglycerols	TAG
TG(45:2)_M+NH3_feature1	metab-u-lrppos	TG 45:2	TG	45	2	NA	Glycerolipids	Triradylglycerols	TAG
TG(45:3)>TG(10:0_17:1_18:2)_and_TG(9:0_18:1_18:2)_M+NH3_feature1	metab-u-lrppos	TG 45:3	TG	45	3	NA	Glycerolipids	Triradylglycerols	TAG
TG(46:1)>TG(12:0_16:0_18:1)_and_TG(10:0_18:0_18:1)_and_TG(14:0_16:0_16:1)_feature2	metab-u-lrppos	TG 46:1	TG	46	1	NA	Glycerolipids	Triradylglycerols	TAG
TG(46:2)_feature2	metab-u-lrppos	TG 46:2	TG	46	2	NA	Glycerolipids	Triradylglycerols	TAG
TG(46:3)>TG(10:0_18:1_18:2)_and_TG(12:0_16:1_18:2)_feature1	metab-u-lrppos	TG 46:3	TG	46	3	NA	Glycerolipids	Triradylglycerols	TAG
TG(46:4)>TG(10:0_18:2_18:2)_feature1	metab-u-lrppos	TG 10:0_18:2_18:2	TG	46	4	TG 10:0_18:2_18:2	Glycerolipids	Triradylglycerols	TAG
TG(46:5)>TG(10:0_18:2_18:3)_feature1	metab-u-lrppos	TG 10:0_18:2_18:3	TG	46	5	TG 10:0_18:2_18:3	Glycerolipids	Triradylglycerols	TAG
TG(46:5)>TG(10:0_18:2_18:3)_feature2	metab-u-lrppos	TG 10:0_18:2_18:3	TG	46	5	TG 10:0_18:2_18:3	Glycerolipids	Triradylglycerols	TAG
TG(46:6)>TG(8:0_16:0_22:6)_M+NH3_feature1	metab-u-lrppos	TG 8:0_16:0_22:6	TG	46	6	TG 8:0_16:0_22:6	Glycerolipids	Triradylglycerols	TAG
TG(46:6)>TG(8:0_18:2_20:4)_M+NH3_feature2	metab-u-lrppos	TG 8:0_18:2_20:4	TG	46	6	TG 8:0_18:2_20:4	Glycerolipids	Triradylglycerols	TAG
TG(47:3)_M+NH3_feature2	metab-u-lrppos	TG 47:3	TG	47	3	NA	Glycerolipids	Triradylglycerols	TAG
TG(48:1)>TG(16:0_16:0_16:1)_and_TG(14:0_16:0_18:1)_feature3	metab-u-lrppos	TG 48:1	TG	48	1	NA	Glycerolipids	Triradylglycerols	TAG
TG(48:2)>TG(14:0_16:0_18:2)_and_TG(14:0_16:1_18:1)_M+NH3_feature2	metab-u-lrppos	TG 48:2	TG	48	2	NA	Glycerolipids	Triradylglycerols	TAG
TG(48:2)>TG(14:0_16:0_18:2)_and_TG(14:0_16:1_18:1)_feature3	metab-u-lrppos	TG 48:2	TG	48	2	NA	Glycerolipids	Triradylglycerols	TAG
TG(48:3)_M+NH3_feature1	metab-u-lrppos	TG 48:3	TG	48	3	NA	Glycerolipids	Triradylglycerols	TAG
TG(48:3)_M+NH3_feature2	metab-u-lrppos	TG 48:3	TG	48	3	NA	Glycerolipids	Triradylglycerols	TAG
TG(48:4)>TG(12:0_18:2_18:2)_M+NH3_feature1	metab-u-lrppos	TG 12:0_18:2_18:2	TG	48	4	TG 12:0_18:2_18:2	Glycerolipids	Triradylglycerols	TAG
TG(48:4)>TG(12:0_18:2_18:2)_feature2	metab-u-lrppos	TG 12:0_18:2_18:2	TG	48	4	TG 12:0_18:2_18:2	Glycerolipids	Triradylglycerols	TAG
TG(48:5)_feature1	metab-u-lrppos	TG 48:5	TG	48	5	NA	Glycerolipids	Triradylglycerols	TAG
TG(48:5)_feature2	metab-u-lrppos	TG 48:5	TG	48	5	NA	Glycerolipids	Triradylglycerols	TAG
TG(48:6)>TG(10:0_16:0_22:6)_M+NH3_feature2	metab-u-lrppos	TG 10:0_16:0_22:6	TG	48	6	TG 10:0_16:0_22:6	Glycerolipids	Triradylglycerols	TAG
TG(48:6)>TG(10:0_18:2_20:4)_M+NH3_feature1	metab-u-lrppos	TG 10:0_18:2_20:4	TG	48	6	TG 10:0_18:2_20:4	Glycerolipids	Triradylglycerols	TAG
TG(49:0)>TG(16:0_16:0_17:0)_and_TG(15:0_16:0_18:0)_and_TG(14:0_16:0_19:0)_M+NH3_feature1	metab-u-lrppos	TG 49:0	TG	49	0	NA	Glycerolipids	Triradylglycerols	TAG
TG(49:1)>TG(15:0_16:0_18:0)_and_TG(16:0_16:0_17:1)_and_>TG(16:0_16:1_17:0)_M+NH3_feature1	metab-u-lrppos	TG 49:1	TG	49	1	NA	Glycerolipids	Triradylglycerols	TAG
TG(49:2)_M+NH3_feature3	metab-u-lrppos	TG 49:2	TG	49	2	NA	Glycerolipids	Triradylglycerols	TAG
TG(49:3)_M+NH3_feature1	metab-u-lrppos	TG 49:3	TG	49	3	NA	Glycerolipids	Triradylglycerols	TAG
TG(49:3)_feature2	metab-u-lrppos	TG 49:3	TG	49	3	NA	Glycerolipids	Triradylglycerols	TAG
